Date (UTC),Type,Direction,Message count
2025-01-06T00:00:00,TransportRules,Outbound,2
2025-01-05T00:00:00,EdgeBlockSpam,Inbound,11
2025-01-05T00:00:00,EmailMalware,Inbound,25
2025-01-05T00:00:00,EmailPhish,Inbound,18
2025-01-05T00:00:00,GoodMail,Inbound,63242
2025-01-05T00:00:00,GoodMail,IntraOrg,23776
2025-01-05T00:00:00,GoodMail,Outbound,7207
2025-01-05T00:00:00,SpamDetections,Inbound,1295
2025-01-05T00:00:00,SpamDetections,IntraOrg,7
2025-01-05T00:00:00,SpamDetections,Outbound,1
2025-01-05T00:00:00,TransportRules,Inbound,58
2025-01-04T00:00:00,EdgeBlockSpam,Inbound,34
2025-01-04T00:00:00,EmailPhish,Inbound,145
2025-01-04T00:00:00,EmailPhish,IntraOrg,8
2025-01-04T00:00:00,EmailPhish,Outbound,3
2025-01-04T00:00:00,GoodMail,Inbound,91068
2025-01-04T00:00:00,GoodMail,IntraOrg,63144
2025-01-04T00:00:00,GoodMail,Outbound,15401
2025-01-04T00:00:00,SpamDetections,Inbound,1812
2025-01-04T00:00:00,SpamDetections,IntraOrg,40
2025-01-04T00:00:00,SpamDetections,Outbound,13
2025-01-04T00:00:00,TransportRules,Inbound,29
2025-01-04T00:00:00,TransportRules,IntraOrg,3
2025-01-03T00:00:00,EdgeBlockSpam,Inbound,34
2025-01-03T00:00:00,EmailMalware,IntraOrg,2
2025-01-03T00:00:00,EmailPhish,Inbound,144
2025-01-03T00:00:00,EmailPhish,IntraOrg,11
2025-01-03T00:00:00,EmailPhish,Outbound,6
2025-01-03T00:00:00,GoodMail,Inbound,101345
2025-01-03T00:00:00,GoodMail,IntraOrg,96521
2025-01-03T00:00:00,GoodMail,Outbound,22429
2025-01-03T00:00:00,SpamDetections,Inbound,3178
2025-01-03T00:00:00,SpamDetections,IntraOrg,53
2025-01-03T00:00:00,SpamDetections,Outbound,19
2025-01-03T00:00:00,TransportRules,Inbound,42
2025-01-03T00:00:00,TransportRules,IntraOrg,2
2025-01-02T00:00:00,EdgeBlockSpam,Inbound,37
2025-01-02T00:00:00,EmailMalware,IntraOrg,4
2025-01-02T00:00:00,EmailPhish,Inbound,140
2025-01-02T00:00:00,GoodMail,Inbound,110875
2025-01-02T00:00:00,GoodMail,IntraOrg,112140
2025-01-02T00:00:00,GoodMail,Outbound,26336
2025-01-02T00:00:00,SpamDetections,Inbound,2937
2025-01-02T00:00:00,SpamDetections,IntraOrg,30
2025-01-02T00:00:00,SpamDetections,Outbound,13
2025-01-02T00:00:00,TransportRules,Inbound,54
2025-01-02T00:00:00,TransportRules,IntraOrg,1
2025-01-02T00:00:00,TransportRules,Outbound,1
2025-01-01T00:00:00,EdgeBlockSpam,Inbound,75
2025-01-01T00:00:00,EmailPhish,Inbound,54
2025-01-01T00:00:00,GoodMail,Inbound,75321
2025-01-01T00:00:00,GoodMail,IntraOrg,25679
2025-01-01T00:00:00,GoodMail,Outbound,8534
2025-01-01T00:00:00,SpamDetections,Inbound,1918
2025-01-01T00:00:00,SpamDetections,IntraOrg,3
2025-01-01T00:00:00,TransportRules,Inbound,38
2025-01-01T00:00:00,TransportRules,Outbound,1
